title,date
Deal! 7 Bank Restui Restrukturisasi Utang Waskita Rp 22 T,26 August 2021 08:40
"Jokowi Longgarkan PPKM, Cek 8 Kabar Pasar Sebelum Trading!",24 August 2021 08:40
"Disuntik PMN Rp 7,9 T, Waskita Rampungkan 7 Ruas Tol",23 August 2021 10:45
"Jokowi Resmikan Tol Pulo Gebang, Saham Konstruksi 'Ngamuk'!",23 August 2021 10:39
"Target Dividen BUMN Rp 35 T di 2022, Saham BUMN Menarik Gak?",19 August 2021 11:20
"Bukalapak hingga Bank Mini, Saham 12 Emiten Kena ARB Mania!",16 August 2021 17:45
"Saham REAL-ICON Melesat di Awal Pekan, WSKT-BUKA Anjlok!",16 August 2021 16:20
"Butuh Duit, Waskita Karya Mau Rights Issue 24,5 Miliar Saham",16 August 2021 09:12
"Kabar Hari Ini: Kongsi Grup Salim-Emtek, IPO Bank Digital BCA",13 August 2021 08:29
"Molor nih, Waskita Targetkan Jual 5 Ruas Tol di Akhir Tahun",12 August 2021 18:35
"Siap-siap! Waskita Mau Rights Issue & Obligasi Rp 17,5 T",12 August 2021 17:40
"Divestasi Tol, Bikin Waskita Laba Rp 33 M dari Rugi Rp 1,3 T",12 August 2021 10:30
Erick Buka-bukaan soal Faedah Suntikan PMN 2021-2022 Rp 106 T,30 July 2021 14:43
"Tok! BEI Cabut Saham PBRX, SRIL & WSBP dari Pantauan Khusus",28 July 2021 15:58
"Saham Konstruksi 'Ngegas', Bisa Reli Panjang Ga Nih?",27 July 2021 10:59
"Gagal Cuan! 10 Saham Ini Tekor Gede Sejak Januari, UNVR-WIKA",23 July 2021 06:51
Terungkap! Ini yang Menjadi Pemicu Saham Konstruksi Melesat,22 July 2021 10:06
"Telkom Dekati SpaceX, Cek Rentetan 10 Aksi Korporasi Emiten!",22 July 2021 08:55
"Saham WSKT-KRAS 'Menggila', MEDC-GGRM kok Nyungsep?",21 July 2021 16:25
"WSKT Jual Ruas Tol Cibitung Rp 2,5 T, Kurangi Beban Utang",21 July 2021 14:55
"Saham-saham Konstruksi Mulai Bergerak Liar, Ada Apa?",21 July 2021 09:49
"5 Kreditor WSKT Sepakat Restruturisasi Utang, Ini Rinciannya",21 July 2021 09:31
"Saham Emiten Erick Thohir Ngacir, Saat IHGS Drop Nyari 1%",19 July 2021 16:50
Deal! 5 Kreditor Restui Restrukturisasi Utang Waskita Rp 19 T,16 July 2021 14:34
"Kasus Covid Tambah 56.000, Ini Dia Bocoran Saham Prospek Cuan",16 July 2021 08:04
"Disuntik dengan PMN, Harga Saham BUMN Ijo Royo-royo",15 July 2021 10:29
"Covid 'Meledak', DPR Desak Erick Tambah PMN BUMN Kesehatan",14 July 2021 19:49
Ini Hasil Lengkap Rapat Erick Thohir & DPR soal PMN Rp 106 T,14 July 2021 19:28
Tok! Suntikan PMN buat 12 BUMN Rp 106 T Disetujui DPR,14 July 2021 18:17
"Di DPR, Erick Sebut 12 BUMN Disuntik PMN Rp 72 T, Ini Listnya",14 July 2021 17:08
"Simak 7 Kabar dari Emiten, Sebelum Borong Saham Cuan",09 July 2021 08:40
"Waskita Terlilit Utang Rp 90 T, Wamen: 6 Ruas Tol Akan Dijual",08 July 2021 15:40
"Wamen Curhat, Kondisi BUMN Karya 'Ngenes' Terlilit Utang",08 July 2021 12:39
"Sempat Gak Bergairah, 11 Saham Konstruksi Melesat Berjamaah!",01 July 2021 10:37
"Kantongi Rp 2 T, Waskita Jual Ruas Tol Semarang & Cinere",01 July 2021 09:50
Cek 8 Kabar Pasar Ini! Rugi APLN hingga Restrukturisasi WSKT,01 July 2021 08:24
"Utang 'Segunung', WSKT Restrukturisasi Utang Cucu Usaha Rp8 T",30 June 2021 10:40
"Sheikh Abu Dhabi Bikin Masjid Gede di Solo, Ini Penampakannya",22 June 2021 13:25
"Saham Konstruksi WIKA-ADHI dkk Ambruk, Apa Pemicunya ya?",21 June 2021 10:07
"Dapat Rp 377 M dari Terregra, WSKT Bangun PLTM Batang Toru",14 June 2021 08:57
Erick Kawinkan BUMN RI dengan BUMN China Garap Infrastruktur,07 June 2021 12:35
"Disaksikan Luhut & Erick, BUMN RI & China Teken Kerja Sama",06 June 2021 19:40
"Kode Keras dari Erick, Bikin Saham Konstruksi Bergerak Liar",04 June 2021 10:14
10 Informasi Patut Anda Baca Buat Serok Cuan Hari Ini,04 June 2021 08:10
"Deal! Waskita Restrukturisasi Utang Rp 4,5 T Jadi 14 Tahun",03 June 2021 15:40
"Kode Keras dari Erick, Konsorsium INA SWF Masuk ke Jalan Tol",03 June 2021 14:27
Bingung Cari Cuan Habis Libur? Cek Saham-saham Pilihan Ini,27 May 2021 08:18
"Pak Erick, Saham BUMN Diborong Investor & Bawa IHSG Melesat",25 May 2021 13:39
"Mulai Liar Lagi, Saham WSKT Dkk Dapat Angin Segar dari INA",24 May 2021 09:40
"Saham Konstruksi BUMN 'Pesta Pora', BP Jamsostek Masuk ke SWF",18 May 2021 09:52
"Jelang Idul Fitri, Saham-saham Konstruksi Ambruk Berjamaah",11 May 2021 12:57
"Oalah Saham 'Milik' Raffi Ahmad Jawara Lagi, WIIM-ABBA Drop!",04 May 2021 12:55
"Tunggu Kepastian INA Caplok Ruas Tol, Saham WIKA Dkk Melempem",04 May 2021 10:08
Sah! Waskita Restrukturisasi Utang dari bank bjb Rp 998 M,03 May 2021 20:41
Wow! PLN-Telkom Kolaborasi Bangun Jaringan Telekomunikasi,28 April 2021 16:23
